release_year,title,genres,nominated,budget_ranges,revenue_ranges,runtime_ranges,budget,revenue,runtime,winner
2003,Underworld,Fantasy,1,Medium,Medium,High,22000000,95708457,121,1
2000,The Patriot,Drama,1,High,High,High,110000000,215294342,165,0
1929,The Broadway Melody,Drama,1,Low,Low,Medium,379000,4358000,100,0
2000,The Patriot,Drama,1,High,High,High,110000000,215294342,165,0
1929,The Broadway Melody,Drama,1,Low,Low,Medium,379000,4358000,100,0
2000,The Patriot,Drama,1,High,High,High,110000000,215294342,165,0
1929,The Broadway Melody,Drama,1,Low,Low,Medium,379000,4358000,100,1
2000,The Patriot,Drama,1,High,High,High,110000000,215294342,165,0
2000,The Patriot,Drama,1,High,High,High,110000000,215294342,165,1
1930,Hell's Angels,Action,1,Low,Medium,High,3950000,8000000,127,0
1941,Sergeant York,Action,1,Low,Medium,High,1400000,16361885,134,0
1996,Emma,Drama,1,Medium,Medium,High,6000000,22231658,121,0
1932,Grand Hotel,Drama,1,Low,Low,Medium,700000,2594000,112,1
2010,Morning Glory,Comedy,1,Medium,Medium,Medium,40000000,58785180,102,1
1933,Cavalcade,Drama,1,Low,Medium,Medium,1180280,7630000,110,0
1933,Cavalcade,Drama,1,Low,Medium,Medium,1180280,7630000,110,1
1932,A Farewell to Arms,Drama,1,Low,Low,Low,4,25,89,0
1932,A Farewell to Arms,Drama,1,Low,Low,Low,4,25,89,0
1932,A Farewell to Arms,Drama,1,Low,Low,Low,4,25,89,1
1932,A Farewell to Arms,Drama,1,Low,Low,Low,4,25,89,1
1933,Cavalcade,Drama,1,Low,Medium,Medium,1180280,7630000,110,1
1933,Cavalcade,Drama,1,Low,Medium,Medium,1180280,7630000,110,1
1932,A Farewell to Arms,Drama,1,Low,Low,Low,4,25,89,0
1932,A Farewell to Arms,Drama,1,Low,Low,Low,4,25,89,0
1933,42nd Street,Music,1,Low,Low,Low,439000,2281000,89,0
1933,She Done Him Wrong,Comedy,1,Low,Low,Low,200000,2200000,66,0
1932,A Farewell to Arms,Drama,1,Low,Low,Low,4,25,89,1
1932,A Farewell to Arms,Drama,1,Low,Low,Low,4,25,89,1
1933,42nd Street,Music,1,Low,Low,Low,439000,2281000,89,0
1934,It Happened One Night,Comedy,1,Low,Low,Medium,325000,4500000,105,1
1934,The Thin Man,Comedy,1,Low,Low,Low,226408,1423000,93,0
1934,It Happened One Night,Comedy,1,Low,Low,Medium,325000,4500000,105,1
1925,The Merry Widow,Romance,1,Low,Low,High,592,1,137,1
1963,Cleopatra,Drama,1,Medium,Medium,High,31115000,71000000,248,0
1963,Cleopatra,Drama,1,Medium,Medium,High,31115000,71000000,248,1
1934,It Happened One Night,Comedy,1,Low,Low,Medium,325000,4500000,105,1
1934,The Thin Man,Comedy,1,Low,Low,Low,226408,1423000,93,0
1963,Cleopatra,Drama,1,Medium,Medium,High,31115000,71000000,248,0
1963,Cleopatra,Drama,1,Medium,Medium,High,31115000,71000000,248,0
1934,It Happened One Night,Comedy,1,Low,Low,Medium,325000,4500000,105,1
1934,The Thin Man,Comedy,1,Low,Low,Low,226408,1423000,93,0
1997,Men in Black,Action,1,High,High,Medium,90000000,589390539,98,0
1963,Cleopatra,Drama,1,Medium,Medium,High,31115000,71000000,248,0
1934,It Happened One Night,Comedy,1,Low,Low,Medium,325000,4500000,105,1
1934,The Thin Man,Comedy,1,Low,Low,Low,226408,1423000,93,0
1962,Mutiny on the Bounty,Adventure,1,Medium,Medium,High,19000000,13680000,178,0
1935,Mutiny on the Bounty,Adventure,1,Low,Low,High,1950000,4460000,132,0
1962,Mutiny on the Bounty,Adventure,1,Medium,Medium,High,19000000,13680000,178,0
1935,Mutiny on the Bounty,Adventure,1,Low,Low,High,1950000,4460000,132,0
1935,The Informer,Drama,1,Low,Low,Low,243000,950000,91,1
1962,Mutiny on the Bounty,Adventure,1,Medium,Medium,High,19000000,13680000,178,0
1935,Mutiny on the Bounty,Adventure,1,Low,Low,High,1950000,4460000,132,0
1935,Top Hat,Comedy,1,Low,Low,Medium,609000,3202000,101,0
1935,Top Hat,Comedy,1,Low,Low,Medium,609000,3202000,101,0
1935,The Informer,Drama,1,Low,Low,Low,243000,950000,91,1
1962,Mutiny on the Bounty,Adventure,1,Medium,Medium,High,19000000,13680000,178,0
1935,Mutiny on the Bounty,Adventure,1,Low,Low,High,1950000,4460000,132,0
1935,The Informer,Drama,1,Low,Low,Low,243000,950000,91,0
1962,Mutiny on the Bounty,Adventure,1,Medium,Medium,High,19000000,13680000,178,0
1935,Mutiny on the Bounty,Adventure,1,Low,Low,High,1950000,4460000,132,0
1935,The Informer,Drama,1,Low,Low,Low,243000,950000,91,1
1962,Mutiny on the Bounty,Adventure,1,Medium,Medium,High,19000000,13680000,178,0
1935,Mutiny on the Bounty,Adventure,1,Low,Low,High,1950000,4460000,132,0
1935,Top Hat,Comedy,1,Low,Low,Medium,609000,3202000,101,0
1935,The Informer,Drama,1,Low,Low,Low,243000,950000,91,0
1962,Mutiny on the Bounty,Adventure,1,Medium,Medium,High,19000000,13680000,178,1
1935,Mutiny on the Bounty,Adventure,1,Low,Low,High,1950000,4460000,132,1
1935,Top Hat,Comedy,1,Low,Low,Medium,609000,3202000,101,0
1935,The Informer,Drama,1,Low,Low,Low,243000,950000,91,1
1962,Mutiny on the Bounty,Adventure,1,Medium,Medium,High,19000000,13680000,178,0
1935,Mutiny on the Bounty,Adventure,1,Low,Low,High,1950000,4460000,132,0
1936,San Francisco,Music,1,Low,Low,Medium,1300000,5273000,115,0
1936,The Gorgeous Hussy,Drama,1,Low,Low,Medium,1119000,2019000,103,0
1936,The Charge of the Light Brigade,Action,1,Low,Low,Medium,1200000,2736000,115,1
1992,The Last of the Mohicans,Action,1,Medium,Medium,Medium,40000000,75505856,112,0
1936,San Francisco,Music,1,Low,Low,Medium,1300000,5273000,115,0
1936,The Gorgeous Hussy,Drama,1,Low,Low,Medium,1119000,2019000,103,0
1936,Swing Time,Comedy,1,Low,Low,Medium,886000,2600000,103,0
1936,San Francisco,Music,1,Low,Low,Medium,1300000,5273000,115,0
1936,The Charge of the Light Brigade,Action,1,Low,Low,Medium,1200000,2736000,115,0
1981,Pennies from Heaven,Drama,1,Medium,Medium,Medium,22000000,9171289,108,0
1936,Swing Time,Comedy,1,Low,Low,Medium,886000,2600000,103,1
1936,San Francisco,Music,1,Low,Low,Medium,1300000,5273000,115,0
1936,The Charge of the Light Brigade,Action,1,Low,Low,Medium,1200000,2736000,115,0
1936,San Francisco,Music,1,Low,Low,Medium,1300000,5273000,115,1
2014,Fury,War,1,High,High,High,68000000,211817906,135,0
1936,San Francisco,Music,1,Low,Low,Medium,1300000,5273000,115,0
1976,A Star Is Born,Drama,1,Medium,High,High,6000000,161000000,139,0
1999,The Hurricane,Drama,1,High,Medium,High,50000000,73956241,146,0
1976,A Star Is Born,Drama,1,Medium,High,High,6000000,161000000,139,0
1976,A Star Is Born,Drama,1,Medium,High,High,6000000,161000000,139,0
1976,A Star Is Born,Drama,1,Medium,High,High,6000000,161000000,139,0
