budget,original_title,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,winner,genres
30000000,Toy Story,21.946943,10/30/1995,373554033,81,Released,Toy Story,7.7,5415,FALSE,Animation
65000000,Jumanji,17.015539,12/15/1995,262797249,104,Released,Jumanji,6.9,2413,#N/A,Adventure
0,Grumpier Old Men,11.7129,12/22/1995,0,101,Released,Grumpier Old Men,6.5,92,#N/A,Romance
16000000,Waiting to Exhale,3.859495,12/22/1995,81452156,127,Released,Waiting to Exhale,6.1,34,#N/A,Comedy
0,Father of the Bride Part II,8.387519,2/10/1995,76578911,106,Released,Father of the Bride Part II,5.7,173,#N/A,Comedy
60000000,Heat,17.924927,12/15/1995,187436818,170,Released,Heat,7.7,1886,#N/A,Action
58000000,Sabrina,6.677277,12/15/1995,0,127,Released,Sabrina,6.2,141,FALSE,Comedy
0,Tom and Huck,2.561161,12/22/1995,0,97,Released,Tom and Huck,5.4,45,#N/A,Action
35000000,Sudden Death,5.23158,12/22/1995,64350171,106,Released,Sudden Death,5.5,174,#N/A,Action
58000000,GoldenEye,14.686036,11/16/1995,352194034,130,Released,GoldenEye,6.6,1194,#N/A,Adventure
62000000,The American President,6.318445,11/17/1995,107879496,106,Released,The American President,6.5,199,FALSE,Comedy
0,Dracula: Dead and Loving It,5.430331,12/22/1995,0,88,Released,Dracula: Dead and Loving It,5.7,210,#N/A,Comedy
0,Balto,12.140733,12/22/1995,11348324,78,Released,Balto,7.1,423,#N/A,Family
44000000,Nixon,5.092,12/22/1995,13681765,192,Released,Nixon,7.1,72,FALSE,History
98000000,Cutthroat Island,7.284477,12/22/1995,10017322,119,Released,Cutthroat Island,5.7,137,#N/A,Action
52000000,Casino,10.137389,11/22/1995,116112375,178,Released,Casino,7.8,1343,FALSE,Drama
16500000,Sense and Sensibility,10.673167,12/13/1995,135000000,136,Released,Sense and Sensibility,7.2,364,FALSE,Drama
4000000,Four Rooms,9.026586,12/9/1995,4300000,98,Released,Four Rooms,6.5,539,#N/A,Crime
30000000,Ace Ventura: When Nature Calls,8.205448,11/10/1995,212385533,90,Released,Ace Ventura: When Nature Calls,6.1,1128,#N/A,Crime
60000000,Money Train,7.337906,11/21/1995,35431113,103,Released,Money Train,5.4,224,#N/A,Action
30250000,Get Shorty,12.669608,10/20/1995,115101622,105,Released,Get Shorty,6.4,305,#N/A,Comedy
0,Copycat,10.701801,10/27/1995,0,124,Released,Copycat,6.5,199,#N/A,Drama
50000000,Assassins,11.065939,10/6/1995,30303072,132,Released,Assassins,6,394,#N/A,Action
0,Powder,12.133094,10/27/1995,0,111,Released,Powder,6.3,143,#N/A,Drama
3600000,Leaving Las Vegas,10.332025,10/27/1995,49800000,112,Released,Leaving Las Vegas,7.1,365,TRUE,Drama
0,Othello,1.845899,12/15/1995,0,123,Released,Othello,7,33,FALSE,Drama
12000000,Now and Then,8.681325,10/20/1995,27400000,100,Released,Now and Then,6.6,91,#N/A,Comedy
0,Persuasion,2.228434,9/27/1995,0,104,Released,Persuasion,7.4,36,#N/A,Drama
18000000,La Cité des Enfants Perdus,9.822423,5/16/1995,1738611,108,Released,The City of Lost Children,7.6,308,#N/A,Fantasy
0,摇啊摇，摇到外婆桥,1.100915,4/30/1995,0,108,Released,Shanghai Triad,6.5,17,#N/A,Drama
0,Dangerous Minds,9.481338,8/11/1995,180000000,99,Released,Dangerous Minds,6.4,249,#N/A,Drama
29500000,Twelve Monkeys,12.297305,12/29/1995,168840000,129,Released,Twelve Monkeys,7.4,2470,#N/A,Science Fiction
0,"Guillaumet, les ailes du courage",0.745542,9/18/1996,0,50,Released,Wings of Courage,6.8,4,#N/A,Romance
30000000,Babe,14.404764,7/18/1995,254134910,89,Released,Babe,6,756,FALSE,Fantasy
0,Carrington,1.493361,11/8/1995,0,121,Released,Carrington,6.4,16,#N/A,History
11000000,Dead Man Walking,6.891317,12/29/1995,39363635,122,Released,Dead Man Walking,7.3,350,FALSE,Drama
0,Across the Sea of Time,0.114469,10/20/1995,0,51,Released,Across the Sea of Time,3.5,2,#N/A,Adventure
0,It Takes Two,7.777735,11/17/1995,0,101,Released,It Takes Two,6.1,149,#N/A,Comedy
12000000,Clueless,9.882383,7/19/1995,0,97,Released,Clueless,6.9,828,#N/A,Comedy
0,"Cry, the Beloved Country",0.894647,12/15/1995,676525,106,Released,"Cry, the Beloved Country",6.7,13,#N/A,Drama
0,Richard III,4.561387,12/29/1995,0,104,Released,Richard III,6.9,50,FALSE,Drama
10000000,Dead Presidents,9.87957,10/6/1995,0,119,Released,Dead Presidents,6.6,80,#N/A,Action
19000000,Restoration,10.979269,12/29/1995,0,117,Released,Restoration,6.3,30,TRUE,Drama
18000000,Mortal Kombat,10.870138,8/18/1995,122195920,101,Released,Mortal Kombat,5.4,452,#N/A,Action
20000000,To Die For,10.448481,5/20/1995,21284514,106,Released,To Die For,6.7,177,#N/A,Fantasy
10000000,How To Make An American Quilt,4.485958,10/6/1995,23574130,116,Released,How To Make An American Quilt,6.5,38,#N/A,Drama
33000000,Se7en,18.45743,9/22/1995,327311859,127,Released,Se7en,8.1,5915,#N/A,Crime
55000000,Pocahontas,13.280069,6/14/1995,346079773,81,Released,Pocahontas,6.7,1509,TRUE,Adventure
0,When Night Is Falling,3.302524,5/5/1995,0,96,Released,When Night Is Falling,5.9,10,#N/A,Drama
6000000,The Usual Suspects,16.302466,7/19/1995,23341568,106,Released,The Usual Suspects,8.1,3334,TRUE,Drama
